text_id,raw_text,processed_v2,sentences
696,продукти харчування риба хек с/м риба хек с/м,продукти харчування риба хек с/м риба хек с/м,продукти харчування риба хек с/м риба хек с/м
667,"Галерейні системи Галерейні системи підвісів картин з освітленням Галерейні системи підвісів картин з освітленням, на профілях з тросовою системою, дві стіни висотою 2,75 м і довжиною 2.80 м на кінці радіус заокруглення R = 3 м, картини будуть розміщені в 3 яруси","Галерейні системи Галерейні системи підвісів картин з освітленням Галерейні системи підвісів картин з освітленням, на профілях з тросовою системою, дві стіни висотою 2,75 м і довжиною 2.80 м на кінці радіус заокруглення R = 3 м, картини будуть розміщені в 3 яруси","Галерейні системи Галерейні системи підвісів картин з освітленням Галерейні системи підвісів картин з освітленням, на профілях з тросовою системою, дві стіни висотою 2,75 м і довжиною 2.80 м на кінці радіус заокруглення R = 3 м, картини будуть розміщені в 3 яруси"
63,"Відновлення та заправлення картриджів Canon 728, HP Q2612A Відновлення та заправлення картриджів Canon 728, HP Q2612A Учасник повинен надати в електронному (сканованому у форматі pdf) в складі свої пропозиції наступні документи:
-	Копія свідоцтва про державну реєстрацію або копія виписки з єдиного державного реєстру юридичних осіб та фізичних осіб підприємців про державну реєстрацію (для юридичних осіб та суб’єктів підприємницької діяльності);
-	Копія свідоцтва платника ПДВ (у разі наявності), або витягу з реєстру платників ПДВ;
-	Копія статуту;
-	 Документальне підтвердження  наявність обладнання та матеріально – технічної бази, працівників відповідної кваліфікації, які мають необхідні знання та досвід, досвіду виконання аналогічних договорів.
Документи, що підтверджують відповідність вимогам до кваліфікації учасників в паперовому вигляді, завірені підписом та печаткою учасника, надаються замовнику переможцем під час укладання  договору про надання послуг
 Для оплати послуг виконавець повинен надати договір про надання послуг та акт виконаних робіт.
Розрахунки за договором проводяться після надання послуг. 
Надання послуг проводиться за адресою замовника, всі транспортні видатки за рахунок виконавця.","Відновлення та заправлення картриджів Canon 728, HP Q2612A Відновлення та заправлення картриджів Canon 728, HP Q2612A Учасник повинен надати в електронному (сканованому у форматі pdf) в складі свої пропозиції наступні документи:
-	Копія свідоцтва про державну реєстрацію або копія виписки з єдиного державного реєстру юридичних осіб та фізичних осіб підприємців про державну реєстрацію (для юридичних осіб та суб'єктів підприємницької діяльності);
-	Копія свідоцтва платника ПДВ (у разі наявності), або витягу з реєстру платників ПДВ;
-	Копія статуту;
-	 Документальне підтвердження  наявність обладнання та матеріально - технічної бази, працівників відповідної кваліфікації, які мають необхідні знання та досвід, досвіду виконання аналогічних договорів.
Документи, що підтверджують відповідність вимогам до кваліфікації учасників в паперовому вигляді, завірені підписом та печаткою учасника, надаються замовнику переможцем під час укладання  договору про надання послуг
 Для оплати послуг виконавець повинен надати договір про надання послуг та акт виконаних робіт.
Розрахунки за договором проводяться після надання послуг. 
Надання послуг проводиться за адресою замовника, всі транспортні видатки за рахунок виконавця.","Відновлення та заправлення картриджів Canon 728, HP Q2612A Відновлення та заправлення картриджів Canon 728, HP Q2612A Учасник повинен надати в електронному (сканованому у форматі pdf) в складі свої пропозиції наступні документи:
-	Копія свідоцтва про державну реєстрацію або копія виписки з єдиного державного реєстру юридичних осіб та фізичних осіб підприємців про державну реєстрацію (для юридичних осіб та суб'єктів підприємницької діяльності);
-	Копія свідоцтва платника ПДВ (у разі наявності), або витягу з реєстру платників ПДВ;
-	Копія статуту;
-	 Документальне підтвердження  наявність обладнання та матеріально - технічної бази, працівників відповідної кваліфікації, які мають необхідні знання та досвід, досвіду виконання аналогічних договорів.
Документи, що підтверджують відповідність вимогам до кваліфікації учасників в паперовому вигляді, завірені підписом та печаткою учасника, надаються замовнику переможцем під час укладання  договору про надання послуг
 Для оплати послуг виконавець повинен надати договір про надання послуг та акт виконаних робіт.
Розрахунки за договором проводяться після надання послуг. 
Надання послуг проводиться за адресою замовника, всі транспортні видатки за рахунок виконавця."
533,Засіб чистящий - порошок Гала 500гр Засіб чистящий - порошок Гала 500гр Засіб читящий - порошок Гала 500гр,Засіб чистящий - порошок Гала 500гр Засіб чистящий - порошок Гала 500гр Засіб читящий - порошок Гала 500гр,Засіб чистящий - порошок Гала 500гр Засіб чистящий - порошок Гала 500гр Засіб читящий - порошок Гала 500гр
66,Патрон Nammo Schonebeck SK RIFLE MATCH 22 LR Патрон Nammo Schonebeck SK RIFLE MATCH 22 LR Патрон Nammo Schonebeck SK RIFLE MATCH 22 LR згідно накладної.,Патрон Nammo Schonebeck SK RIFLE MATCH 22 LR Патрон Nammo Schonebeck SK RIFLE MATCH 22 LR Патрон Nammo Schonebeck SK RIFLE MATCH 22 LR згідно накладної.,Патрон Nammo Schonebeck SK RIFLE MATCH 22 LR Патрон Nammo Schonebeck SK RIFLE MATCH 22 LR Патрон Nammo Schonebeck SK RIFLE MATCH 22 LR згідно накладної.
621,"Медична документація, журнали обліку, бланки. Медична документація, журнали обліку, бланки.
1. Форма первинної облікової документації №129-6/о ""Журнал обліку препаратів наркотичних засобів, психотропних речовин і прекурсорів у відділеннях і кабінетах лікувально-профілактичних закладів охорони здоров'я"" - 1 шт., 50 аркушів, тверда обкладинка.
2.  Форма первинної облікової документації №129-7/о ""Журнал обліку препаратів наркотичних засобів, психотропних речовин і прекурсорів на постах відділень лікувально-профілактичних закладів охорони здоров'я"" - 1 шт., 50 аркушів, тверда обкладинка.
3. ""Листок призначень препаратів наркотичних засобів, психотропних речовин і прекурсорів хворим, які отримують лікування в стаціонарних або амбулаторних умовах, і виконання цих призначень"" - 500 шт. формат А4, орієнтація - книжна.
Доставка протягом двох днів після підписання договору. Оплата після фінансування. Медична документація, журнали обліку, бланки.
1. Форма первинної облікової документації №129-6/о ""Журнал обліку препаратів наркотичних засобів, психотропних речовин і прекурсорів у відділеннях і кабінетах лікувально-профілактичних закладів охорони здоров'я"" - 1 шт., 50 аркушів, тверда обкладинка.
2.  Форма первинної облікової документації №129-7/о ""Журнал обліку препаратів наркотичних засобів, психотропних речовин і прекурсорів на постах відділень лікувально-профілактичних закладів охорони здоров'я"" - 1 шт., 50 аркушів, тверда обкладинка.
3. ""Листок призначень препаратів наркотичних засобів, психотропних речовин і прекурсорів хворим, які отримують лікування в стаціонарних або амбулаторних умовах, і виконання цих призначень"" - 500 шт. формат А4, орієнтація - книжна.
Доставка протягом двох днів після підписання договору. Оплата після фінансування.","Медична документація, журнали обліку, бланки. Медична документація, журнали обліку, бланки.
1. Форма первинної облікової документації №129-6/о ""Журнал обліку препаратів наркотичних засобів, психотропних речовин і прекурсорів у відділеннях і кабінетах лікувально-профілактичних закладів охорони здоров'я"" - 1 шт., 50 аркушів, тверда обкладинка.
2.  Форма первинної облікової документації №129-7/о ""Журнал обліку препаратів наркотичних засобів, психотропних речовин і прекурсорів на постах відділень лікувально-профілактичних закладів охорони здоров'я"" - 1 шт., 50 аркушів, тверда обкладинка.
3. ""Листок призначень препаратів наркотичних засобів, психотропних речовин і прекурсорів хворим, які отримують лікування в стаціонарних або амбулаторних умовах, і виконання цих призначень"" - 500 шт. формат А4, орієнтація - книжна.
Доставка протягом двох днів після підписання договору. Оплата після фінансування. Медична документація, журнали обліку, бланки.
1. Форма первинної облікової документації №129-6/о ""Журнал обліку препаратів наркотичних засобів, психотропних речовин і прекурсорів у відділеннях і кабінетах лікувально-профілактичних закладів охорони здоров'я"" - 1 шт., 50 аркушів, тверда обкладинка.
2.  Форма первинної облікової документації №129-7/о ""Журнал обліку препаратів наркотичних засобів, психотропних речовин і прекурсорів на постах відділень лікувально-профілактичних закладів охорони здоров'я"" - 1 шт., 50 аркушів, тверда обкладинка.
3. ""Листок призначень препаратів наркотичних засобів, психотропних речовин і прекурсорів хворим, які отримують лікування в стаціонарних або амбулаторних умовах, і виконання цих призначень"" - 500 шт. формат А4, орієнтація - книжна.
Доставка протягом двох днів після підписання договору. Оплата після фінансування.","Медична документація, журнали обліку, бланки. Медична документація, журнали обліку, бланки.
1. Форма первинної облікової документації №129-6/о ""Журнал обліку препаратів наркотичних засобів, психотропних речовин і прекурсорів у відділеннях і кабінетах лікувально-профілактичних закладів охорони здоров'я"" - 1 шт., 50 аркушів, тверда обкладинка.
2.  Форма первинної облікової документації №129-7/о ""Журнал обліку препаратів наркотичних засобів, психотропних речовин і прекурсорів на постах відділень лікувально-профілактичних закладів охорони здоров'я"" - 1 шт., 50 аркушів, тверда обкладинка.
3. ""Листок призначень препаратів наркотичних засобів, психотропних речовин і прекурсорів хворим, які отримують лікування в стаціонарних або амбулаторних умовах, і виконання цих призначень"" - 500 шт. формат А4, орієнтація - книжна.
Доставка протягом двох днів після підписання договору. Оплата після фінансування. Медична документація, журнали обліку, бланки.
1. Форма первинної облікової документації №129-6/о ""Журнал обліку препаратів наркотичних засобів, психотропних речовин і прекурсорів у відділеннях і кабінетах лікувально-профілактичних закладів охорони здоров'я"" - 1 шт., 50 аркушів, тверда обкладинка.
2.  Форма первинної облікової документації №129-7/о ""Журнал обліку препаратів наркотичних засобів, психотропних речовин і прекурсорів на постах відділень лікувально-профілактичних закладів охорони здоров'я"" - 1 шт., 50 аркушів, тверда обкладинка.
3. ""Листок призначень препаратів наркотичних засобів, психотропних речовин і прекурсорів хворим, які отримують лікування в стаціонарних або амбулаторних умовах, і виконання цих призначень"" - 500 шт. формат А4, орієнтація - книжна.
Доставка протягом двох днів після підписання договору. Оплата після фінансування."
346,ВіникиСорго Віники Сорго 20 шт Віники Сорго 20 шт,ВіникиСорго Віники Сорго 20 шт Віники Сорго 20 шт,ВіникиСорго Віники Сорго 20 шт Віники Сорго 20 шт
490,брус брус хв. порід оброблений 50х50х3000 брус хв. порід оброблений 50х50х3000,брус брус хв. порід оброблений 50х50х3000 брус хв. порід оброблений 50х50х3000,брус брус хв. порід оброблений 50х50х3000 брус хв. порід оброблений 50х50х3000
760,"Штатив для інфузій - утримує вантаж до 10 кг, - утримує 2 скляні посудини ємністю 50-500 мл, або полімерні мішки ємністю до 1000 мл., - регульований по висоті Штатив для інфузій","Штатив для інфузій - утримує вантаж до 10 кг, - утримує 2 скляні посудини ємністю 50-500 мл, або полімерні мішки ємністю до 1000 мл., - регульований по висоті Штатив для інфузій","Штатив для інфузій - утримує вантаж до 10 кг, - утримує 2 скляні посудини ємністю 50-500 мл, або полімерні мішки ємністю до 1000 мл., - регульований по висоті Штатив для інфузій"
456,Лампа єергозбережувальна Лампа єнергозбережувальна 20ват. 840 Е27 Лампа єнергозбережувальна,Лампа єергозбережувальна Лампа єнергозбережувальна 20ват. 840 Е27 Лампа єнергозбережувальна,Лампа єергозбережувальна Лампа єнергозбережувальна 20ват. 840 Е27 Лампа єнергозбережувальна
